Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
13:31:09;;Android;;;;sessionStart;;bky8u4MDu4TJohI;ella_ultra;
13:31:50;;Android;;;;exerciseStart;Beinstrecker;bky8u4MDu4TJohI;ella_ultra;
13:31:50;2022-03-03T13:31:50.426Z;gyro_bench_legs;0.27;-0.01;1.05;;;;;
13:31:50;2022-03-03T13:31:50.450Z;ultrasonic_foot_1-2;107.0;;;;;;;
13:31:50;2022-03-03T13:31:50.489Z;ultrasonic_foot_3-4;107.0;;;;;;;
13:31:50;2022-03-03T13:31:50.485Z;ultrasonic_foot_5-6;97.0;;;;;;;
13:31:50;2022-03-03T13:31:50.465Z;ultrasonic_top;151.0;;;;;;;
13:31:50;2022-03-03T13:31:50.513Z;gyro_cable_left;-0.0;-0.01;1.0;;;;;
13:31:50;2022-03-03T13:31:50.464Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:31:50;2022-03-03T13:31:50.535Z;ultrasonic_cable_right;200.0;;;;;;;
13:31:50;2022-03-03T13:31:50.546Z;gyro_bar;0.0;-0.0;1.01;;;;;
13:31:50;2022-03-03T13:31:50.589Z;ultrasonic_cable_left;168.0;;;;;;;
13:31:50;2022-03-03T13:31:50.582Z;gyro_bench_top;1.64;5.48;113.9;;;;;
13:31:50;2022-03-03T13:31:50.635Z;gyro_bench_legs;0.28;-0.01;1.03;;;;;
13:31:50;2022-03-03T13:31:50.679Z;ultrasonic_foot_1-2;107.0;;;;;;;
13:31:50;2022-03-03T13:31:50.718Z;ultrasonic_foot_3-4;107.0;;;;;;;
13:31:50;2022-03-03T13:31:50.697Z;ultrasonic_top;139.0;;;;;;;
13:31:50;2022-03-03T13:31:50.714Z;ultrasonic_foot_5-6;101.0;;;;;;;
13:31:50;2022-03-03T13:31:50.722Z;gyro_cable_left;-0.0;0.0;1.0;;;;;
13:31:50;2022-03-03T13:31:50.673Z;gyro_cable_right;0.0;-0.01;1.0;;;;;
13:31:50;2022-03-03T13:31:50.770Z;ultrasonic_cable_right;202.0;;;;;;;
13:31:50;2022-03-03T13:31:50.755Z;gyro_bar;0.01;0.01;1.01;;;;;
13:31:50;2022-03-03T13:31:50.791Z;gyro_bench_top;1.61;5.21;113.9;;;;;
13:31:50;2022-03-03T13:31:50.822Z;ultrasonic_cable_left;168.0;;;;;;;
13:31:50;2022-03-03T13:31:50.844Z;gyro_bench_legs;0.27;-0.01;1.05;;;;;
13:31:50;2022-03-03T13:31:50.904Z;ultrasonic_foot_1-2;44.0;;;;;;;
13:31:50;2022-03-03T13:31:50.931Z;gyro_cable_left;0.02;0.0;1.0;;;;;
13:31:50;2022-03-03T13:31:50.882Z;gyro_cable_right;0.0;0.01;1.0;;;;;
13:31:50;2022-03-03T13:31:50.947Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:50;2022-03-03T13:31:50.943Z;ultrasonic_foot_5-6;93.0;;;;;;;
13:31:50;2022-03-03T13:31:50.928Z;ultrasonic_top;143.0;;;;;;;
13:31:51;2022-03-03T13:31:50.964Z;gyro_bar;0.0;0.0;1.0;;;;;
13:31:51;2022-03-03T13:31:51.005Z;ultrasonic_cable_right;201.0;;;;;;;
13:31:51;2022-03-03T13:31:51.000Z;gyro_bench_top;1.61;5.04;113.95;;;;;
13:31:51;2022-03-03T13:31:51.055Z;ultrasonic_cable_left;169.0;;;;;;;
13:31:51;2022-03-03T13:31:51.053Z;gyro_bench_legs;0.47;0.01;1.04;;;;;
13:31:51;2022-03-03T13:31:51.134Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:51;2022-03-03T13:31:51.091Z;gyro_cable_right;-0.01;-0.0;1.0;;;;;
13:31:51;2022-03-03T13:31:51.140Z;gyro_cable_left;0.02;0.0;0.99;;;;;
13:31:51;2022-03-03T13:31:51.177Z;ultrasonic_foot_3-4;107.0;;;;;;;
13:31:51;2022-03-03T13:31:51.173Z;ultrasonic_foot_5-6;128.0;;;;;;;
13:31:51;2022-03-03T13:31:51.173Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:31:51;2022-03-03T13:31:51.160Z;ultrasonic_top;147.0;;;;;;;
13:31:51;2022-03-03T13:31:51.209Z;gyro_bench_top;1.71;4.85;113.97;;;;;
13:31:51;2022-03-03T13:31:51.262Z;gyro_bench_legs;0.61;-0.01;1.03;;;;;
13:31:51;2022-03-03T13:31:51.287Z;ultrasonic_cable_right;1007.0;;;;;;;
13:31:51;2022-03-03T13:31:51.288Z;ultrasonic_cable_left;172.0;;;;;;;
13:31:51;2022-03-03T13:31:51.349Z;gyro_cable_left;-0.01;-0.0;1.0;;;;;
13:31:51;2022-03-03T13:31:51.300Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:31:51;2022-03-03T13:31:51.361Z;ultrasonic_foot_1-2;71.0;;;;;;;
13:31:51;2022-03-03T13:31:51.406Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:51;2022-03-03T13:31:51.402Z;ultrasonic_foot_5-6;100.0;;;;;;;
13:31:51;2022-03-03T13:31:51.391Z;ultrasonic_top;138.0;;;;;;;
13:31:51;2022-03-03T13:31:51.382Z;gyro_bar;-0.0;0.0;0.99;;;;;
13:31:51;2022-03-03T13:31:51.418Z;gyro_bench_top;1.67;4.69;113.96;;;;;
13:31:51;2022-03-03T13:31:51.471Z;gyro_bench_legs;0.79;0.0;1.12;;;;;
13:31:51;2022-03-03T13:31:51.521Z;ultrasonic_cable_left;168.0;;;;;;;
13:31:51;2022-03-03T13:31:51.558Z;gyro_cable_left;-0.01;-0.0;1.01;;;;;
13:31:51;2022-03-03T13:31:51.509Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:31:51;2022-03-03T13:31:51.570Z;ultrasonic_cable_right;1007.0;;;;;;;
13:31:51;2022-03-03T13:31:51.591Z;ultrasonic_foot_1-2;107.0;;;;;;;
13:31:51;2022-03-03T13:31:51.636Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:51;2022-03-03T13:31:51.632Z;ultrasonic_foot_5-6;116.0;;;;;;;
13:31:51;2022-03-03T13:31:51.623Z;ultrasonic_top;146.0;;;;;;;
13:31:51;2022-03-03T13:31:51.591Z;gyro_bar;-0.0;0.0;1.01;;;;;
13:31:51;2022-03-03T13:31:51.627Z;gyro_bench_top;1.59;4.32;114.15;;;;;
13:31:51;2022-03-03T13:31:51.680Z;gyro_bench_legs;0.91;-0.06;1.54;;;;;
13:31:51;2022-03-03T13:31:51.767Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:31:51;2022-03-03T13:31:51.718Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:31:51;2022-03-03T13:31:51.755Z;ultrasonic_cable_left;174.0;;;;;;;
13:31:51;2022-03-03T13:31:51.820Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:51;2022-03-03T13:31:51.800Z;gyro_bar;-0.01;0.0;1.01;;;;;
13:31:51;2022-03-03T13:31:51.853Z;ultrasonic_cable_right;1007.0;;;;;;;
13:31:51;2022-03-03T13:31:51.865Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:51;2022-03-03T13:31:51.861Z;ultrasonic_foot_5-6;97.0;;;;;;;
13:31:51;2022-03-03T13:31:51.853Z;ultrasonic_top;119.0;;;;;;;
13:31:51;2022-03-03T13:31:51.836Z;gyro_bench_top;1.51;4.08;114.16;;;;;
13:31:51;2022-03-03T13:31:51.889Z;gyro_bench_legs;0.79;-0.01;2.03;;;;;
13:31:51;2022-03-03T13:31:51.976Z;gyro_cable_left;0.01;-0.0;1.01;;;;;
13:31:52;2022-03-03T13:31:51.927Z;gyro_cable_right;-0.0;-0.01;1.0;;;;;
13:31:52;2022-03-03T13:31:51.988Z;ultrasonic_cable_left;168.0;;;;;;;
13:31:52;2022-03-03T13:31:52.009Z;gyro_bar;0.0;0.0;1.0;;;;;
13:31:52;2022-03-03T13:31:52.049Z;ultrasonic_foot_1-2;107.0;;;;;;;
13:31:52;2022-03-03T13:31:52.045Z;gyro_bench_top;1.44;3.94;114.16;;;;;
13:31:52;2022-03-03T13:31:52.090Z;ultrasonic_foot_5-6;94.0;;;;;;;
13:31:52;2022-03-03T13:31:52.093Z;ultrasonic_cable_right;267.0;;;;;;;
13:31:52;2022-03-03T13:31:52.084Z;ultrasonic_top;123.0;;;;;;;
13:31:52;2022-03-03T13:31:52.098Z;gyro_bench_legs;0.67;-0.08;2.33;;;;;
13:31:52;2022-03-03T13:31:52.146Z;ultrasonic_foot_3-4;1005.0;;;;;;;
13:31:52;2022-03-03T13:31:52.185Z;gyro_cable_left;-0.01;-0.01;1.0;;;;;
13:31:52;2022-03-03T13:31:52.136Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:31:52;2022-03-03T13:31:52.220Z;ultrasonic_cable_left;168.0;;;;;;;
13:31:52;2022-03-03T13:31:52.218Z;gyro_bar;0.01;0.0;1.0;;;;;
13:31:52;2022-03-03T13:31:52.254Z;gyro_bench_top;1.4;3.72;114.08;;;;;
13:31:52;2022-03-03T13:31:52.278Z;ultrasonic_foot_1-2;108.0;;;;;;;
13:31:52;2022-03-03T13:31:52.323Z;ultrasonic_foot_5-6;165.0;;;;;;;
13:31:52;2022-03-03T13:31:52.324Z;ultrasonic_cable_right;129.0;;;;;;;
13:31:52;2022-03-03T13:31:52.307Z;gyro_bench_legs;0.9;-0.07;2.33;;;;;
13:31:52;2022-03-03T13:31:52.316Z;ultrasonic_top;151.0;;;;;;;
13:31:52;2022-03-03T13:31:52.377Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:52;2022-03-03T13:31:52.394Z;gyro_cable_left;0.0;0.01;0.99;;;;;
13:31:52;2022-03-03T13:31:52.345Z;gyro_cable_right;0.0;0.0;1.01;;;;;
13:31:52;2022-03-03T13:31:52.428Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:31:52;2022-03-03T13:31:52.454Z;ultrasonic_cable_left;179.0;;;;;;;
13:31:52;2022-03-03T13:31:52.463Z;gyro_bench_top;1.39;3.53;114.13;;;;;
13:31:52;2022-03-03T13:31:52.508Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:52;2022-03-03T13:31:52.516Z;gyro_bench_legs;0.87;-0.09;2.23;;;;;
13:31:52;2022-03-03T13:31:52.556Z;ultrasonic_cable_right;146.0;;;;;;;
13:31:52;2022-03-03T13:31:52.556Z;ultrasonic_foot_5-6;164.0;;;;;;;
13:31:52;2022-03-03T13:31:52.548Z;ultrasonic_top;155.0;;;;;;;
13:31:52;2022-03-03T13:31:52.607Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:52;2022-03-03T13:31:52.603Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:31:52;2022-03-03T13:31:52.554Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
13:31:52;2022-03-03T13:31:52.637Z;gyro_bar;0.0;0.0;1.0;;;;;
13:31:52;2022-03-03T13:31:52.688Z;ultrasonic_cable_left;169.0;;;;;;;
13:31:52;2022-03-03T13:31:52.672Z;gyro_bench_top;1.43;3.39;114.11;;;;;
13:31:52;2022-03-03T13:31:52.737Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:52;2022-03-03T13:31:52.725Z;gyro_bench_legs;0.87;-0.08;2.04;;;;;
13:31:52;2022-03-03T13:31:52.779Z;ultrasonic_top;122.0;;;;;;;
13:31:52;2022-03-03T13:31:52.788Z;ultrasonic_cable_right;151.0;;;;;;;
13:31:52;2022-03-03T13:31:52.794Z;ultrasonic_foot_5-6;257.0;;;;;;;
13:31:52;2022-03-03T13:31:52.812Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:31:52;2022-03-03T13:31:52.763Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:31:52;2022-03-03T13:31:52.837Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:52;2022-03-03T13:31:52.847Z;gyro_bar;0.0;-0.0;1.01;;;;;
13:31:52;2022-03-03T13:31:52.881Z;gyro_bench_top;1.42;3.19;114.09;;;;;
13:31:52;2022-03-03T13:31:52.921Z;ultrasonic_cable_left;177.0;;;;;;;
13:31:52;2022-03-03T13:31:52.934Z;gyro_bench_legs;0.84;-0.05;1.64;;;;;
13:31:53;2022-03-03T13:31:52.966Z;ultrasonic_foot_1-2;107.0;;;;;;;
13:31:53;2022-03-03T13:31:53.021Z;gyro_cable_left;-0.02;-0.0;1.0;;;;;
13:31:53;2022-03-03T13:31:52.972Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:31:53;2022-03-03T13:31:53.027Z;ultrasonic_foot_5-6;162.0;;;;;;;
13:31:53;2022-03-03T13:31:53.014Z;ultrasonic_top;223.0;;;;;;;
13:31:53;2022-03-03T13:31:53.023Z;ultrasonic_cable_right;200.0;;;;;;;
13:31:53;2022-03-03T13:31:53.066Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:53;2022-03-03T13:31:53.056Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:31:53;2022-03-03T13:31:53.090Z;gyro_bench_top;1.39;3.13;114.16;;;;;
13:31:53;2022-03-03T13:31:53.152Z;ultrasonic_cable_left;147.0;;;;;;;
13:31:53;2022-03-03T13:31:53.143Z;gyro_bench_legs;0.76;-0.17;1.1;;;;;
13:31:53;2022-03-03T13:31:53.195Z;ultrasonic_foot_1-2;108.0;;;;;;;
13:31:53;2022-03-03T13:31:53.230Z;gyro_cable_left;-0.01;0.0;0.99;;;;;
13:31:53;2022-03-03T13:31:53.181Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:31:53;2022-03-03T13:31:53.243Z;ultrasonic_top;94.0;;;;;;;
13:31:53;2022-03-03T13:31:53.288Z;ultrasonic_foot_5-6;640.0;;;;;;;
13:31:53;2022-03-03T13:31:53.265Z;gyro_bar;0.0;0.0;1.0;;;;;
13:31:53;2022-03-03T13:31:53.295Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:53;2022-03-03T13:31:53.305Z;ultrasonic_cable_right;1007.0;;;;;;;
13:31:53;2022-03-03T13:31:53.299Z;gyro_bench_top;1.3;2.68;114.11;;;;;
13:31:53;2022-03-03T13:31:53.352Z;gyro_bench_legs;0.63;-0.09;1.13;;;;;
13:31:53;2022-03-03T13:31:53.385Z;ultrasonic_cable_left;169.0;;;;;;;
13:31:53;2022-03-03T13:31:53.425Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:53;2022-03-03T13:31:53.439Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:31:53;2022-03-03T13:31:53.390Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:31:53;2022-03-03T13:31:53.475Z;ultrasonic_top;148.0;;;;;;;
13:31:53;2022-03-03T13:31:53.474Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:31:53;2022-03-03T13:31:53.525Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:53;2022-03-03T13:31:53.521Z;ultrasonic_foot_5-6;169.0;;;;;;;
13:31:53;2022-03-03T13:31:53.508Z;gyro_bench_top;1.31;2.61;114.1;;;;;
13:31:53;2022-03-03T13:31:53.541Z;ultrasonic_cable_right;200.0;;;;;;;
13:31:53;2022-03-03T13:31:53.561Z;gyro_bench_legs;0.57;0.01;1.06;;;;;
13:31:53;2022-03-03T13:31:53.618Z;ultrasonic_cable_left;169.0;;;;;;;
13:31:53;2022-03-03T13:31:53.648Z;gyro_cable_left;0.0;0.0;1.0;;;;;
13:31:53;2022-03-03T13:31:53.650Z;ultrasonic_foot_1-2;43.0;;;;;;;
13:31:53;2022-03-03T13:31:53.599Z;gyro_cable_right;0.0;-0.0;1.0;;;;;
13:31:53;2022-03-03T13:31:53.683Z;gyro_bar;0.01;0.01;1.0;;;;;
13:31:53;2022-03-03T13:31:53.704Z;ultrasonic_top;91.0;;;;;;;
13:31:53;2022-03-03T13:31:53.717Z;gyro_bench_top;1.19;2.73;114.17;;;;;
13:31:53;2022-03-03T13:31:53.751Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:31:53;2022-03-03T13:31:53.755Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:53;2022-03-03T13:31:53.776Z;ultrasonic_cable_right;200.0;;;;;;;
13:31:53;2022-03-03T13:31:53.770Z;gyro_bench_legs;0.5;-0.02;1.05;;;;;
13:31:53;2022-03-03T13:31:53.852Z;ultrasonic_cable_left;175.0;;;;;;;
13:31:53;2022-03-03T13:31:53.857Z;gyro_cable_left;-0.02;-0.0;0.99;;;;;
13:31:53;2022-03-03T13:31:53.808Z;gyro_cable_right;-0.0;0.0;0.99;;;;;
13:31:53;2022-03-03T13:31:53.877Z;ultrasonic_foot_1-2;69.0;;;;;;;
13:31:53;2022-03-03T13:31:53.892Z;gyro_bar;0.01;-0.0;1.0;;;;;
13:31:53;2022-03-03T13:31:53.933Z;ultrasonic_top;92.0;;;;;;;
13:31:53;2022-03-03T13:31:53.926Z;gyro_bench_top;1.17;2.59;114.18;;;;;
13:31:53;2022-03-03T13:31:53.985Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:53;2022-03-03T13:31:53.981Z;ultrasonic_foot_5-6;115.0;;;;;;;
13:31:54;2022-03-03T13:31:53.979Z;gyro_bench_legs;0.94;-0.0;0.98;;;;;
13:31:54;2022-03-03T13:31:54.011Z;ultrasonic_cable_right;202.0;;;;;;;
13:31:54;2022-03-03T13:31:54.066Z;gyro_cable_left;0.01;0.01;1.0;;;;;
13:31:54;2022-03-03T13:31:54.017Z;gyro_cable_right;0.0;-0.0;1.0;;;;;
13:31:54;2022-03-03T13:31:54.084Z;ultrasonic_cable_left;169.0;;;;;;;
13:31:54;2022-03-03T13:31:54.106Z;ultrasonic_foot_1-2;75.0;;;;;;;
13:31:54;2022-03-03T13:31:54.101Z;gyro_bar;0.01;0.0;1.0;;;;;
13:31:54;2022-03-03T13:31:54.135Z;gyro_bench_top;1.2;2.41;114.29;;;;;
13:31:54;2022-03-03T13:31:54.162Z;ultrasonic_top;91.0;;;;;;;
13:31:54;2022-03-03T13:31:54.211Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:31:54;2022-03-03T13:31:54.215Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:54;2022-03-03T13:31:54.188Z;gyro_bench_legs;0.91;-0.05;1.21;;;;;
13:31:54;2022-03-03T13:31:54.275Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:31:54;2022-03-03T13:31:54.226Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:31:54;2022-03-03T13:31:54.293Z;ultrasonic_cable_right;1007.0;;;;;;;
13:31:54;2022-03-03T13:31:54.317Z;ultrasonic_cable_left;169.0;;;;;;;
13:31:54;2022-03-03T13:31:54.310Z;gyro_bar;-0.0;0.0;1.01;;;;;
13:31:54;2022-03-03T13:31:54.335Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:54;2022-03-03T13:31:54.344Z;gyro_bench_top;1.2;2.36;114.2;;;;;
13:31:54;2022-03-03T13:31:54.391Z;ultrasonic_top;91.0;;;;;;;
13:31:54;2022-03-03T13:31:54.397Z;gyro_bench_legs;0.74;-0.02;1.89;;;;;
13:31:54;2022-03-03T13:31:54.441Z;ultrasonic_foot_5-6;116.0;;;;;;;
13:31:54;2022-03-03T13:31:54.445Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:54;2022-03-03T13:31:54.484Z;gyro_cable_left;0.01;0.0;0.99;;;;;
13:31:54;2022-03-03T13:31:54.435Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:31:54;2022-03-03T13:31:54.519Z;gyro_bar;0.0;-0.0;1.01;;;;;
13:31:54;2022-03-03T13:31:54.551Z;ultrasonic_cable_left;175.0;;;;;;;
13:31:54;2022-03-03T13:31:54.564Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:54;2022-03-03T13:31:54.576Z;ultrasonic_cable_right;1007.0;;;;;;;
13:31:54;2022-03-03T13:31:54.553Z;gyro_bench_top;2.0;1.93;114.63;;;;;
13:31:54;2022-03-03T13:31:54.606Z;gyro_bench_legs;1.03;-0.27;2.44;;;;;
13:31:54;2022-03-03T13:31:54.619Z;ultrasonic_top;92.0;;;;;;;
13:31:54;2022-03-03T13:31:54.675Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:54;2022-03-03T13:31:54.671Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:31:54;2022-03-03T13:31:54.693Z;gyro_cable_left;-0.02;-0.0;1.0;;;;;
13:31:54;2022-03-03T13:31:54.644Z;gyro_cable_right;0.0;-0.0;1.0;;;;;
13:31:54;2022-03-03T13:31:54.728Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:31:54;2022-03-03T13:31:54.783Z;ultrasonic_cable_left;168.0;;;;;;;
13:31:54;2022-03-03T13:31:54.762Z;gyro_bench_top;1.9;1.76;114.71;;;;;
13:31:54;2022-03-03T13:31:54.794Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:54;2022-03-03T13:31:54.813Z;ultrasonic_cable_right;201.0;;;;;;;
13:31:54;2022-03-03T13:31:54.815Z;gyro_bench_legs;0.99;-0.1;2.34;;;;;
13:31:54;2022-03-03T13:31:54.851Z;ultrasonic_top;146.0;;;;;;;
13:31:54;2022-03-03T13:31:54.901Z;ultrasonic_foot_5-6;108.0;;;;;;;
13:31:54;2022-03-03T13:31:54.904Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:54;2022-03-03T13:31:54.902Z;gyro_cable_left;-0.0;-0.0;1.0;;;;;
13:31:54;2022-03-03T13:31:54.854Z;gyro_cable_right;-0.0;0.01;1.0;;;;;
13:31:54;2022-03-03T13:31:54.937Z;gyro_bar;0.0;0.0;1.0;;;;;
13:31:55;2022-03-03T13:31:54.971Z;gyro_bench_top;1.95;1.64;114.64;;;;;
13:31:55;2022-03-03T13:31:55.018Z;ultrasonic_cable_left;198.0;;;;;;;
13:31:55;2022-03-03T13:31:55.023Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:55;2022-03-03T13:31:55.024Z;gyro_bench_legs;0.96;-0.06;2.38;;;;;
13:31:55;2022-03-03T13:31:55.047Z;ultrasonic_cable_right;200.0;;;;;;;
13:31:55;2022-03-03T13:31:55.083Z;ultrasonic_top;150.0;;;;;;;
13:31:55;2022-03-03T13:31:55.111Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:31:55;2022-03-03T13:31:55.063Z;gyro_cable_right;0.0;-0.0;1.0;;;;;
13:31:55;2022-03-03T13:31:55.130Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:31:55;2022-03-03T13:31:55.134Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:55;2022-03-03T13:31:55.146Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:31:55;2022-03-03T13:31:55.180Z;gyro_bench_top;1.93;1.44;114.67;;;;;
13:31:55;2022-03-03T13:31:55.253Z;ultrasonic_cable_left;199.0;;;;;;;
13:31:55;2022-03-03T13:31:55.233Z;gyro_bench_legs;0.92;-0.04;2.36;;;;;
13:31:55;2022-03-03T13:31:55.252Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:55;2022-03-03T13:31:55.282Z;ultrasonic_cable_right;200.0;;;;;;;
13:31:55;2022-03-03T13:31:55.315Z;ultrasonic_top;149.0;;;;;;;
13:31:55;2022-03-03T13:31:55.320Z;gyro_cable_left;-0.01;-0.0;1.0;;;;;
13:31:55;2022-03-03T13:31:55.272Z;gyro_cable_right;-0.0;-0.0;1.01;;;;;
13:31:55;2022-03-03T13:31:55.360Z;ultrasonic_foot_5-6;117.0;;;;;;;
13:31:55;2022-03-03T13:31:55.364Z;ultrasonic_foot_3-4;106.0;;;;;;;
13:31:55;2022-03-03T13:31:55.355Z;gyro_bar;0.01;0.01;1.0;;;;;
13:31:55;2022-03-03T13:31:55.389Z;gyro_bench_top;1.92;1.35;114.79;;;;;
13:31:55;2022-03-03T13:31:55.442Z;gyro_bench_legs;0.82;-0.06;2.33;;;;;
13:31:55;2022-03-03T13:31:55.481Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:55;2022-03-03T13:31:55.487Z;ultrasonic_cable_left;174.0;;;;;;;
13:31:55;2022-03-03T13:31:55.517Z;ultrasonic_cable_right;199.0;;;;;;;
13:31:55;2022-03-03T13:31:55.529Z;gyro_cable_left;-0.02;-0.01;1.01;;;;;
13:31:55;2022-03-03T13:31:55.481Z;gyro_cable_right;0.0;-0.0;1.0;;;;;
13:31:55;2022-03-03T13:31:55.547Z;ultrasonic_top;150.0;;;;;;;
13:31:55;2022-03-03T13:31:55.564Z;gyro_bar;0.0;-0.0;1.01;;;;;
13:31:55;2022-03-03T13:31:55.590Z;ultrasonic_foot_5-6;116.0;;;;;;;
13:31:55;2022-03-03T13:31:55.594Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:55;2022-03-03T13:31:55.598Z;gyro_bench_top;1.92;1.28;114.77;;;;;
13:31:55;2022-03-03T13:31:55.651Z;gyro_bench_legs;0.88;-0.09;2.2;;;;;
13:31:55;2022-03-03T13:31:55.719Z;ultrasonic_cable_left;168.0;;;;;;;
13:31:55;2022-03-03T13:31:55.738Z;gyro_cable_left;-0.01;-0.0;1.0;;;;;
13:31:55;2022-03-03T13:31:55.690Z;gyro_cable_right;-0.0;-0.0;1.01;;;;;
13:31:55;2022-03-03T13:31:55.710Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:55;2022-03-03T13:31:55.778Z;ultrasonic_top;125.0;;;;;;;
13:31:55;2022-03-03T13:31:55.787Z;ultrasonic_cable_right;798.0;;;;;;;
13:31:55;2022-03-03T13:31:55.773Z;gyro_bar;0.01;-0.0;0.99;;;;;
13:31:55;2022-03-03T13:31:55.819Z;ultrasonic_foot_5-6;99.0;;;;;;;
13:31:55;2022-03-03T13:31:55.823Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:55;2022-03-03T13:31:55.807Z;gyro_bench_top;1.88;1.17;114.75;;;;;
13:31:55;2022-03-03T13:31:55.860Z;gyro_bench_legs;0.85;-0.04;1.79;;;;;
13:31:55;2022-03-03T13:31:55.939Z;ultrasonic_foot_1-2;107.0;;;;;;;
13:31:55;2022-03-03T13:31:55.947Z;gyro_cable_left;0.02;0.0;1.0;;;;;
13:31:55;2022-03-03T13:31:55.952Z;ultrasonic_cable_left;168.0;;;;;;;
13:31:55;2022-03-03T13:31:55.899Z;gyro_cable_right;-0.01;0.0;1.0;;;;;
13:31:56;2022-03-03T13:31:55.982Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:31:56;2022-03-03T13:31:56.016Z;gyro_bench_top;1.92;0.95;114.84;;;;;
13:31:56;2022-03-03T13:31:56.052Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:31:56;2022-03-03T13:31:56.048Z;ultrasonic_foot_5-6;100.0;;;;;;;
13:31:56;2022-03-03T13:31:56.070Z;ultrasonic_cable_right;1007.0;;;;;;;
13:31:56;2022-03-03T13:31:56.009Z;ultrasonic_top;132.0;;;;;;;
13:31:56;2022-03-03T13:31:56.069Z;gyro_bench_legs;0.97;0.04;1.32;;;;;
13:31:56;2022-03-03T13:31:56.156Z;gyro_cable_left;0.01;0.0;1.0;;;;;
13:31:56;2022-03-03T13:31:56.108Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:31:56;2022-03-03T13:31:56.169Z;ultrasonic_foot_1-2;106.0;;;;;;;
13:31:56;2022-03-03T13:31:56.185Z;ultrasonic_cable_left;168.0;;;;;;;
13:31:56;2022-03-03T13:31:56.191Z;gyro_bar;0.01;0.0;1.0;;;;;
