Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
13:14:15;;Android;;;;sessionStart;;vZ719rQUSZ9kIhW;ella_ultra;
13:14:32;;Android;;;;exerciseStart;Ausfallschritte;vZ719rQUSZ9kIhW;ella_ultra;
13:14:32;2022-03-03T13:14:32.828Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:14:32;2022-03-03T13:14:32.825Z;ultrasonic_top;188.0;;;;;;;
13:14:32;2022-03-03T13:14:32.831Z;gyro_bar;0.0;0.0;1.0;;;;;
13:14:32;2022-03-03T13:14:32.831Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:32;2022-03-03T13:14:32.833Z;ultrasonic_foot_3-4;104.0;;;;;;;
13:14:32;2022-03-03T13:14:32.842Z;ultrasonic_foot_1-2;105.0;;;;;;;
13:14:32;2022-03-03T13:14:32.871Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:14:32;2022-03-03T13:14:32.894Z;gyro_bench_legs;-0.01;-0.01;1.0;;;;;
13:14:32;2022-03-03T13:14:32.919Z;gyro_bench_top;0.55;0.45;5.46;;;;;
13:14:32;2022-03-03T13:14:32.907Z;ultrasonic_cable_left;198.0;;;;;;;
13:14:32;2022-03-03T13:14:32.965Z;ultrasonic_cable_right;1007.0;;;;;;;
13:14:33;2022-03-03T13:14:33.037Z;gyro_cable_right;-0.0;0.01;1.0;;;;;
13:14:33;2022-03-03T13:14:33.040Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:14:33;2022-03-03T13:14:33.060Z;ultrasonic_top;190.0;;;;;;;
13:14:33;2022-03-03T13:14:33.080Z;gyro_cable_left;-0.02;-0.0;1.0;;;;;
13:14:33;2022-03-03T13:14:33.060Z;ultrasonic_foot_5-6;103.0;;;;;;;
13:14:33;2022-03-03T13:14:33.063Z;ultrasonic_foot_3-4;120.0;;;;;;;
13:14:33;2022-03-03T13:14:33.103Z;gyro_bench_legs;0.0;-0.0;1.0;;;;;
13:14:33;2022-03-03T13:14:33.070Z;ultrasonic_foot_1-2;104.0;;;;;;;
13:14:33;2022-03-03T13:14:33.128Z;gyro_bench_top;0.54;0.45;5.53;;;;;
13:14:33;2022-03-03T13:14:33.142Z;ultrasonic_cable_left;199.0;;;;;;;
13:14:33;2022-03-03T13:14:33.248Z;ultrasonic_cable_right;1007.0;;;;;;;
13:14:33;2022-03-03T13:14:33.246Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:14:33;2022-03-03T13:14:33.249Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:14:33;2022-03-03T13:14:33.289Z;gyro_cable_left;-0.01;0.0;1.01;;;;;
13:14:33;2022-03-03T13:14:33.312Z;gyro_bench_legs;0.01;-0.01;1.01;;;;;
13:14:33;2022-03-03T13:14:33.299Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:33;2022-03-03T13:14:33.290Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:33;2022-03-03T13:14:33.294Z;ultrasonic_top;185.0;;;;;;;
13:14:33;2022-03-03T13:14:33.299Z;ultrasonic_foot_3-4;219.0;;;;;;;
13:14:33;2022-03-03T13:14:33.337Z;gyro_bench_top;0.54;0.44;5.5;;;;;
13:14:33;2022-03-03T13:14:33.377Z;ultrasonic_cable_left;199.0;;;;;;;
13:14:33;2022-03-03T13:14:33.455Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
13:14:33;2022-03-03T13:14:33.458Z;gyro_bar;0.0;0.0;1.0;;;;;
13:14:33;2022-03-03T13:14:33.500Z;ultrasonic_cable_right;476.0;;;;;;;
13:14:33;2022-03-03T13:14:33.498Z;gyro_cable_left;0.01;0.0;1.02;;;;;
13:14:33;2022-03-03T13:14:33.521Z;gyro_bench_legs;0.01;-0.0;1.0;;;;;
13:14:33;2022-03-03T13:14:33.546Z;gyro_bench_top;0.43;0.42;5.55;;;;;
13:14:33;2022-03-03T13:14:33.528Z;ultrasonic_top;186.0;;;;;;;
13:14:33;2022-03-03T13:14:33.528Z;ultrasonic_foot_1-2;104.0;;;;;;;
13:14:33;2022-03-03T13:14:33.520Z;ultrasonic_foot_5-6;111.0;;;;;;;
13:14:33;2022-03-03T13:14:33.581Z;ultrasonic_foot_3-4;1005.0;;;;;;;
13:14:33;2022-03-03T13:14:33.612Z;ultrasonic_cable_left;198.0;;;;;;;
13:14:33;2022-03-03T13:14:33.664Z;gyro_cable_right;-0.0;0.0;0.99;;;;;
13:14:33;2022-03-03T13:14:33.667Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:14:33;2022-03-03T13:14:33.707Z;gyro_cable_left;0.01;-0.0;1.0;;;;;
13:14:33;2022-03-03T13:14:33.730Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:14:33;2022-03-03T13:14:33.755Z;gyro_bench_top;0.42;0.48;5.54;;;;;
13:14:33;2022-03-03T13:14:33.750Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:33;2022-03-03T13:14:33.782Z;ultrasonic_cable_right;1007.0;;;;;;;
13:14:33;2022-03-03T13:14:33.762Z;ultrasonic_top;182.0;;;;;;;
13:14:33;2022-03-03T13:14:33.757Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:33;2022-03-03T13:14:33.847Z;ultrasonic_cable_left;198.0;;;;;;;
13:14:33;2022-03-03T13:14:33.873Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:14:33;2022-03-03T13:14:33.864Z;ultrasonic_foot_3-4;1005.0;;;;;;;
13:14:33;2022-03-03T13:14:33.876Z;gyro_bar;0.0;-0.0;1.01;;;;;
13:14:33;2022-03-03T13:14:33.917Z;gyro_cable_left;0.02;-0.01;0.99;;;;;
13:14:33;2022-03-03T13:14:33.939Z;gyro_bench_legs;0.01;-0.0;1.0;;;;;
13:14:33;2022-03-03T13:14:33.964Z;gyro_bench_top;0.39;0.5;5.54;;;;;
13:14:34;2022-03-03T13:14:33.986Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:34;2022-03-03T13:14:34.018Z;ultrasonic_cable_right;202.0;;;;;;;
13:14:34;2022-03-03T13:14:33.980Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:34;2022-03-03T13:14:34.082Z;gyro_cable_right;0.0;0.0;1.01;;;;;
13:14:34;2022-03-03T13:14:33.996Z;ultrasonic_top;184.0;;;;;;;
13:14:34;2022-03-03T13:14:34.082Z;ultrasonic_cable_left;198.0;;;;;;;
13:14:34;2022-03-03T13:14:34.085Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:14:34;2022-03-03T13:14:34.127Z;gyro_cable_left;-0.02;-0.0;1.0;;;;;
13:14:34;2022-03-03T13:14:34.148Z;gyro_bench_legs;0.01;-0.01;0.99;;;;;
13:14:34;2022-03-03T13:14:34.173Z;gyro_bench_top;0.4;0.52;5.58;;;;;
13:14:34;2022-03-03T13:14:34.147Z;ultrasonic_foot_3-4;1005.0;;;;;;;
13:14:34;2022-03-03T13:14:34.230Z;ultrasonic_top;183.0;;;;;;;
13:14:34;2022-03-03T13:14:34.215Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:34;2022-03-03T13:14:34.210Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:34;2022-03-03T13:14:34.300Z;ultrasonic_cable_right;1007.0;;;;;;;
13:14:34;2022-03-03T13:14:34.291Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:14:34;2022-03-03T13:14:34.294Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:14:34;2022-03-03T13:14:34.336Z;gyro_cable_left;-0.02;-0.0;0.99;;;;;
13:14:34;2022-03-03T13:14:34.317Z;ultrasonic_cable_left;199.0;;;;;;;
13:14:34;2022-03-03T13:14:34.357Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:14:34;2022-03-03T13:14:34.382Z;gyro_bench_top;0.39;0.5;5.66;;;;;
13:14:34;2022-03-03T13:14:34.465Z;ultrasonic_top;188.0;;;;;;;
13:14:34;2022-03-03T13:14:34.430Z;ultrasonic_foot_3-4;1005.0;;;;;;;
13:14:34;2022-03-03T13:14:34.444Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:34;2022-03-03T13:14:34.440Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:34;2022-03-03T13:14:34.500Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:14:34;2022-03-03T13:14:34.536Z;ultrasonic_cable_right;203.0;;;;;;;
13:14:34;2022-03-03T13:14:34.503Z;gyro_bar;-0.01;0.01;0.99;;;;;
13:14:34;2022-03-03T13:14:34.545Z;gyro_cable_left;-0.01;0.01;1.0;;;;;
13:14:34;2022-03-03T13:14:34.566Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
13:14:34;2022-03-03T13:14:34.552Z;ultrasonic_cable_left;205.0;;;;;;;
13:14:34;2022-03-03T13:14:34.591Z;gyro_bench_top;0.33;0.43;5.7;;;;;
13:14:34;2022-03-03T13:14:34.670Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:34;2022-03-03T13:14:34.673Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:34;2022-03-03T13:14:34.660Z;ultrasonic_foot_3-4;97.0;;;;;;;
13:14:34;2022-03-03T13:14:34.709Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:14:34;2022-03-03T13:14:34.699Z;ultrasonic_top;188.0;;;;;;;
13:14:34;2022-03-03T13:14:34.712Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:14:34;2022-03-03T13:14:34.754Z;gyro_cable_left;0.02;0.0;1.0;;;;;
13:14:34;2022-03-03T13:14:34.771Z;ultrasonic_cable_right;201.0;;;;;;;
13:14:34;2022-03-03T13:14:34.775Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:14:34;2022-03-03T13:14:34.800Z;gyro_bench_top;0.37;0.47;5.65;;;;;
13:14:34;2022-03-03T13:14:34.787Z;ultrasonic_cable_left;198.0;;;;;;;
13:14:34;2022-03-03T13:14:34.932Z;ultrasonic_top;156.0;;;;;;;
13:14:34;2022-03-03T13:14:34.889Z;ultrasonic_foot_3-4;103.0;;;;;;;
13:14:34;2022-03-03T13:14:34.902Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:34;2022-03-03T13:14:34.918Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:14:34;2022-03-03T13:14:34.900Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:34;2022-03-03T13:14:34.921Z;gyro_bar;-0.0;0.0;1.01;;;;;
13:14:34;2022-03-03T13:14:34.963Z;gyro_cable_left;0.0;-0.0;1.0;;;;;
13:14:34;2022-03-03T13:14:34.984Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:14:35;2022-03-03T13:14:35.009Z;gyro_bench_top;0.38;0.42;5.67;;;;;
13:14:35;2022-03-03T13:14:35.006Z;ultrasonic_cable_right;200.0;;;;;;;
13:14:35;2022-03-03T13:14:35.022Z;ultrasonic_cable_left;199.0;;;;;;;
13:14:35;2022-03-03T13:14:35.127Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:14:35;2022-03-03T13:14:35.118Z;ultrasonic_foot_3-4;96.0;;;;;;;
13:14:35;2022-03-03T13:14:35.130Z;gyro_bar;0.0;-0.01;1.01;;;;;
13:14:35;2022-03-03T13:14:35.164Z;ultrasonic_top;131.0;;;;;;;
13:14:35;2022-03-03T13:14:35.131Z;ultrasonic_foot_1-2;103.0;;;;;;;
13:14:35;2022-03-03T13:14:35.130Z;ultrasonic_foot_5-6;111.0;;;;;;;
13:14:35;2022-03-03T13:14:35.172Z;gyro_cable_left;-0.02;-0.0;1.0;;;;;
13:14:35;2022-03-03T13:14:35.193Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:14:35;2022-03-03T13:14:35.218Z;gyro_bench_top;0.37;0.5;5.61;;;;;
13:14:35;2022-03-03T13:14:35.258Z;ultrasonic_cable_right;479.0;;;;;;;
13:14:35;2022-03-03T13:14:35.257Z;ultrasonic_cable_left;199.0;;;;;;;
13:14:35;2022-03-03T13:14:35.336Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
13:14:35;2022-03-03T13:14:35.339Z;gyro_bar;-0.0;0.0;1.01;;;;;
13:14:35;2022-03-03T13:14:35.347Z;ultrasonic_foot_3-4;103.0;;;;;;;
13:14:35;2022-03-03T13:14:35.360Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:35;2022-03-03T13:14:35.381Z;gyro_cable_left;0.01;0.01;1.0;;;;;
13:14:35;2022-03-03T13:14:35.360Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:35;2022-03-03T13:14:35.402Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:14:35;2022-03-03T13:14:35.427Z;gyro_bench_top;0.4;0.5;5.54;;;;;
13:14:35;2022-03-03T13:14:35.398Z;ultrasonic_top;184.0;;;;;;;
13:14:35;2022-03-03T13:14:35.508Z;ultrasonic_cable_right;476.0;;;;;;;
13:14:35;2022-03-03T13:14:35.492Z;ultrasonic_cable_left;199.0;;;;;;;
13:14:35;2022-03-03T13:14:35.545Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
13:14:35;2022-03-03T13:14:35.548Z;gyro_bar;-0.0;-0.0;1.01;;;;;
13:14:35;2022-03-03T13:14:35.611Z;gyro_bench_legs;0.0;-0.0;1.0;;;;;
13:14:35;2022-03-03T13:14:35.590Z;gyro_cable_left;0.03;0.01;1.0;;;;;
13:14:35;2022-03-03T13:14:35.576Z;ultrasonic_foot_3-4;96.0;;;;;;;
13:14:35;2022-03-03T13:14:35.589Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:35;2022-03-03T13:14:35.590Z;ultrasonic_foot_5-6;111.0;;;;;;;
13:14:35;2022-03-03T13:14:35.636Z;gyro_bench_top;0.55;0.46;5.52;;;;;
13:14:35;2022-03-03T13:14:35.632Z;ultrasonic_top;182.0;;;;;;;
13:14:35;2022-03-03T13:14:35.743Z;ultrasonic_cable_right;201.0;;;;;;;
13:14:35;2022-03-03T13:14:35.725Z;ultrasonic_cable_left;173.0;;;;;;;
13:14:35;2022-03-03T13:14:35.756Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:14:35;2022-03-03T13:14:35.757Z;gyro_bar;-0.01;0.0;1.0;;;;;
13:14:35;2022-03-03T13:14:35.799Z;gyro_cable_left;0.02;0.0;1.0;;;;;
13:14:35;2022-03-03T13:14:35.820Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:14:35;2022-03-03T13:14:35.845Z;gyro_bench_top;0.56;0.47;5.5;;;;;
13:14:35;2022-03-03T13:14:35.806Z;ultrasonic_foot_3-4;107.0;;;;;;;
13:14:35;2022-03-03T13:14:35.820Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:35;2022-03-03T13:14:35.818Z;ultrasonic_foot_1-2;104.0;;;;;;;
13:14:35;2022-03-03T13:14:35.866Z;ultrasonic_top;175.0;;;;;;;
13:14:35;2022-03-03T13:14:35.978Z;ultrasonic_cable_right;202.0;;;;;;;
13:14:35;2022-03-03T13:14:35.965Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:14:36;2022-03-03T13:14:35.958Z;ultrasonic_cable_left;171.0;;;;;;;
13:14:36;2022-03-03T13:14:35.966Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:14:36;2022-03-03T13:14:36.008Z;gyro_cable_left;-0.02;-0.0;1.0;;;;;
13:14:36;2022-03-03T13:14:36.029Z;gyro_bench_legs;-0.01;-0.01;0.99;;;;;
13:14:36;2022-03-03T13:14:36.054Z;gyro_bench_top;0.57;0.45;5.54;;;;;
13:14:36;2022-03-03T13:14:36.034Z;ultrasonic_foot_3-4;97.0;;;;;;;
13:14:36;2022-03-03T13:14:36.047Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:36;2022-03-03T13:14:36.050Z;ultrasonic_foot_5-6;111.0;;;;;;;
13:14:36;2022-03-03T13:14:36.101Z;ultrasonic_top;213.0;;;;;;;
13:14:36;2022-03-03T13:14:36.174Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
13:14:36;2022-03-03T13:14:36.175Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:14:36;2022-03-03T13:14:36.213Z;ultrasonic_cable_right;201.0;;;;;;;
13:14:36;2022-03-03T13:14:36.191Z;ultrasonic_cable_left;171.0;;;;;;;
13:14:36;2022-03-03T13:14:36.217Z;gyro_cable_left;-0.0;-0.0;0.99;;;;;
13:14:36;2022-03-03T13:14:36.238Z;gyro_bench_legs;0.0;-0.0;0.99;;;;;
13:14:36;2022-03-03T13:14:36.263Z;gyro_bench_top;0.6;0.42;5.52;;;;;
13:14:36;2022-03-03T13:14:36.263Z;ultrasonic_foot_3-4;96.0;;;;;;;
13:14:36;2022-03-03T13:14:36.276Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:36;2022-03-03T13:14:36.280Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:36;2022-03-03T13:14:36.335Z;ultrasonic_top;186.0;;;;;;;
13:14:36;2022-03-03T13:14:36.383Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:14:36;2022-03-03T13:14:36.384Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:14:36;2022-03-03T13:14:36.426Z;gyro_cable_left;0.01;0.01;1.0;;;;;
13:14:36;2022-03-03T13:14:36.447Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:14:36;2022-03-03T13:14:36.448Z;ultrasonic_cable_right;203.0;;;;;;;
13:14:36;2022-03-03T13:14:36.426Z;ultrasonic_cable_left;205.0;;;;;;;
13:14:36;2022-03-03T13:14:36.472Z;gyro_bench_top;0.56;0.44;5.58;;;;;
13:14:36;2022-03-03T13:14:36.492Z;ultrasonic_foot_3-4;96.0;;;;;;;
13:14:36;2022-03-03T13:14:36.510Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:36;2022-03-03T13:14:36.505Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:36;2022-03-03T13:14:36.569Z;ultrasonic_top;186.0;;;;;;;
13:14:36;2022-03-03T13:14:36.592Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
13:14:36;2022-03-03T13:14:36.593Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:14:36;2022-03-03T13:14:36.635Z;gyro_cable_left;-0.0;-0.0;1.0;;;;;
13:14:36;2022-03-03T13:14:36.656Z;gyro_bench_legs;0.0;-0.0;0.99;;;;;
13:14:36;2022-03-03T13:14:36.681Z;gyro_bench_top;0.59;0.45;5.56;;;;;
13:14:36;2022-03-03T13:14:36.661Z;ultrasonic_cable_left;198.0;;;;;;;
13:14:36;2022-03-03T13:14:36.699Z;ultrasonic_cable_right;477.0;;;;;;;
13:14:36;2022-03-03T13:14:36.721Z;ultrasonic_foot_3-4;96.0;;;;;;;
13:14:36;2022-03-03T13:14:36.733Z;ultrasonic_foot_1-2;83.0;;;;;;;
13:14:36;2022-03-03T13:14:36.740Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:36;2022-03-03T13:14:36.801Z;gyro_cable_right;0.0;-0.0;1.0;;;;;
13:14:36;2022-03-03T13:14:36.802Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:14:36;2022-03-03T13:14:36.844Z;gyro_cable_left;-0.03;-0.0;1.0;;;;;
13:14:36;2022-03-03T13:14:36.803Z;ultrasonic_top;182.0;;;;;;;
13:14:36;2022-03-03T13:14:36.865Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
13:14:36;2022-03-03T13:14:36.890Z;gyro_bench_top;0.55;0.5;5.59;;;;;
13:14:36;2022-03-03T13:14:36.894Z;ultrasonic_cable_left;170.0;;;;;;;
13:14:36;2022-03-03T13:14:36.950Z;ultrasonic_cable_right;477.0;;;;;;;
13:14:37;2022-03-03T13:14:36.949Z;ultrasonic_foot_3-4;80.0;;;;;;;
13:14:37;2022-03-03T13:14:36.962Z;ultrasonic_foot_1-2;104.0;;;;;;;
13:14:37;2022-03-03T13:14:36.970Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:37;2022-03-03T13:14:37.010Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
13:14:37;2022-03-03T13:14:37.011Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:14:37;2022-03-03T13:14:37.053Z;gyro_cable_left;0.01;0.01;1.0;;;;;
13:14:37;2022-03-03T13:14:37.074Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:14:37;2022-03-03T13:14:37.099Z;gyro_bench_top;0.57;0.55;5.62;;;;;
13:14:37;2022-03-03T13:14:37.037Z;ultrasonic_top;183.0;;;;;;;
13:14:37;2022-03-03T13:14:37.127Z;ultrasonic_cable_left;171.0;;;;;;;
13:14:37;2022-03-03T13:14:37.178Z;ultrasonic_foot_3-4;103.0;;;;;;;
13:14:37;2022-03-03T13:14:37.191Z;ultrasonic_foot_1-2;82.0;;;;;;;
13:14:37;2022-03-03T13:14:37.232Z;ultrasonic_cable_right;1007.0;;;;;;;
13:14:37;2022-03-03T13:14:37.219Z;gyro_cable_right;0.0;0.01;1.01;;;;;
13:14:37;2022-03-03T13:14:37.200Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:37;2022-03-03T13:14:37.220Z;gyro_bar;-0.0;-0.0;0.99;;;;;
13:14:37;2022-03-03T13:14:37.262Z;gyro_cable_left;0.02;0.0;1.0;;;;;
13:14:37;2022-03-03T13:14:37.283Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:14:37;2022-03-03T13:14:37.308Z;gyro_bench_top;0.53;0.57;5.57;;;;;
13:14:37;2022-03-03T13:14:37.271Z;ultrasonic_top;183.0;;;;;;;
13:14:37;2022-03-03T13:14:37.360Z;ultrasonic_cable_left;172.0;;;;;;;
13:14:37;2022-03-03T13:14:37.406Z;ultrasonic_foot_3-4;79.0;;;;;;;
13:14:37;2022-03-03T13:14:37.418Z;ultrasonic_foot_1-2;80.0;;;;;;;
13:14:37;2022-03-03T13:14:37.428Z;gyro_cable_right;-0.01;0.0;1.0;;;;;
13:14:37;2022-03-03T13:14:37.429Z;gyro_bar;-0.0;-0.0;1.01;;;;;
13:14:37;2022-03-03T13:14:37.468Z;ultrasonic_cable_right;200.0;;;;;;;
13:14:37;2022-03-03T13:14:37.430Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:37;2022-03-03T13:14:37.471Z;gyro_cable_left;0.0;0.0;1.01;;;;;
13:14:37;2022-03-03T13:14:37.492Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
13:14:37;2022-03-03T13:14:37.505Z;ultrasonic_top;182.0;;;;;;;
13:14:37;2022-03-03T13:14:37.517Z;gyro_bench_top;0.49;0.63;5.65;;;;;
13:14:37;2022-03-03T13:14:37.593Z;ultrasonic_cable_left;171.0;;;;;;;
13:14:37;2022-03-03T13:14:37.637Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
13:14:37;2022-03-03T13:14:37.638Z;gyro_bar;-0.0;-0.01;1.0;;;;;
13:14:37;2022-03-03T13:14:37.634Z;ultrasonic_foot_3-4;80.0;;;;;;;
13:14:37;2022-03-03T13:14:37.680Z;gyro_cable_left;-0.02;-0.0;0.99;;;;;
13:14:37;2022-03-03T13:14:37.701Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
13:14:37;2022-03-03T13:14:37.660Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:37;2022-03-03T13:14:37.647Z;ultrasonic_foot_1-2;103.0;;;;;;;
13:14:37;2022-03-03T13:14:37.703Z;ultrasonic_cable_right;200.0;;;;;;;
13:14:37;2022-03-03T13:14:37.726Z;gyro_bench_top;0.51;0.67;5.63;;;;;
13:14:37;2022-03-03T13:14:37.739Z;ultrasonic_top;183.0;;;;;;;
13:14:37;2022-03-03T13:14:37.826Z;ultrasonic_cable_left;174.0;;;;;;;
13:14:37;2022-03-03T13:14:37.846Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:14:37;2022-03-03T13:14:37.847Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:14:37;2022-03-03T13:14:37.863Z;ultrasonic_foot_3-4;102.0;;;;;;;
13:14:37;2022-03-03T13:14:37.910Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:14:37;2022-03-03T13:14:37.889Z;gyro_cable_left;0.01;0.0;1.01;;;;;
13:14:37;2022-03-03T13:14:37.876Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:37;2022-03-03T13:14:37.890Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:37;2022-03-03T13:14:37.935Z;gyro_bench_top;0.54;0.74;5.63;;;;;
13:14:37;2022-03-03T13:14:37.954Z;ultrasonic_cable_right;478.0;;;;;;;
13:14:38;2022-03-03T13:14:38.055Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:14:38;2022-03-03T13:14:37.976Z;ultrasonic_top;232.0;;;;;;;
13:14:38;2022-03-03T13:14:38.056Z;gyro_bar;-0.01;0.01;1.0;;;;;
13:14:38;2022-03-03T13:14:38.061Z;ultrasonic_cable_left;198.0;;;;;;;
13:14:38;2022-03-03T13:14:38.098Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:14:38;2022-03-03T13:14:38.119Z;gyro_bench_legs;0.0;-0.01;1.01;;;;;
13:14:38;2022-03-03T13:14:38.092Z;ultrasonic_foot_3-4;100.0;;;;;;;
13:14:38;2022-03-03T13:14:38.105Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:38;2022-03-03T13:14:38.144Z;gyro_bench_top;0.53;0.78;5.68;;;;;
13:14:38;2022-03-03T13:14:38.120Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:38;2022-03-03T13:14:38.189Z;ultrasonic_cable_right;200.0;;;;;;;
13:14:38;2022-03-03T13:14:38.212Z;ultrasonic_top;209.0;;;;;;;
13:14:38;2022-03-03T13:14:38.264Z;gyro_cable_right;0.01;-0.0;1.0;;;;;
13:14:38;2022-03-03T13:14:38.265Z;gyro_bar;-0.01;-0.0;1.0;;;;;
13:14:38;2022-03-03T13:14:38.307Z;gyro_cable_left;-0.01;-0.0;1.0;;;;;
13:14:38;2022-03-03T13:14:38.328Z;gyro_bench_legs;0.0;-0.0;1.0;;;;;
13:14:38;2022-03-03T13:14:38.294Z;ultrasonic_cable_left;171.0;;;;;;;
13:14:38;2022-03-03T13:14:38.354Z;gyro_bench_top;0.56;0.75;5.67;;;;;
13:14:38;2022-03-03T13:14:38.322Z;ultrasonic_foot_3-4;112.0;;;;;;;
13:14:38;2022-03-03T13:14:38.350Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:14:38;2022-03-03T13:14:38.334Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:14:38;2022-03-03T13:14:38.441Z;ultrasonic_cable_right;480.0;;;;;;;
13:14:38;2022-03-03T13:14:38.448Z;ultrasonic_top;186.0;;;;;;;
13:14:38;2022-03-03T13:14:38.473Z;gyro_cable_right;-0.0;0.01;1.0;;;;;
13:14:38;2022-03-03T13:14:38.474Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:14:38;2022-03-03T13:14:38.516Z;gyro_cable_left;-0.01;-0.01;1.0;;;;;
13:14:38;2022-03-03T13:14:38.537Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:14:38;2022-03-03T13:14:38.527Z;ultrasonic_cable_left;171.0;;;;;;;
13:14:38;2022-03-03T13:14:38.563Z;gyro_bench_top;0.52;0.7;5.73;;;;;
13:14:38;2022-03-03T13:14:38.550Z;ultrasonic_foot_3-4;79.0;;;;;;;
