Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
13:21:58;;Android;;;;sessionStart;;zIHZM1T1Gv2rNc5;ella_ultra;
13:23:22;;Android;;;;exerciseStart;Brustpresse;zIHZM1T1Gv2rNc5;ella_ultra;
13:23:22;2022-03-03T13:23:22.657Z;ultrasonic_cable_right;477.0;;;;;;;
13:23:22;2022-03-03T13:23:22.663Z;gyro_bench_top;0.84;33.78;102.61;;;;;
13:23:22;2022-03-03T13:23:22.688Z;ultrasonic_top;159.0;;;;;;;
13:23:22;2022-03-03T13:23:22.700Z;ultrasonic_cable_left;172.0;;;;;;;
13:23:22;2022-03-03T13:23:22.720Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:22;2022-03-03T13:23:22.782Z;gyro_cable_left;-0.0;0.0;0.99;;;;;
13:23:22;2022-03-03T13:23:22.749Z;ultrasonic_foot_5-6;116.0;;;;;;;
13:23:22;2022-03-03T13:23:22.755Z;ultrasonic_foot_1-2;52.0;;;;;;;
13:23:22;2022-03-03T13:23:22.783Z;gyro_cable_right;-0.01;0.0;0.99;;;;;
13:23:22;2022-03-03T13:23:22.847Z;gyro_bar;0.0;0.0;1.01;;;;;
13:23:22;2022-03-03T13:23:22.872Z;gyro_bench_top;0.87;33.74;102.56;;;;;
13:23:22;2022-03-03T13:23:22.892Z;ultrasonic_cable_right;202.0;;;;;;;
13:23:23;2022-03-03T13:23:22.933Z;ultrasonic_cable_left;171.0;;;;;;;
13:23:23;2022-03-03T13:23:22.921Z;ultrasonic_top;159.0;;;;;;;
13:23:23;2022-03-03T13:23:22.950Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:23;2022-03-03T13:23:22.991Z;gyro_cable_left;-0.02;-0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:22.982Z;ultrasonic_foot_1-2;52.0;;;;;;;
13:23:23;2022-03-03T13:23:22.992Z;gyro_cable_right;0.0;-0.0;1.01;;;;;
13:23:23;2022-03-03T13:23:23.056Z;gyro_bar;0.0;0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:23.081Z;gyro_bench_top;0.93;33.74;102.57;;;;;
13:23:23;2022-03-03T13:23:23.030Z;ultrasonic_foot_5-6;993.0;;;;;;;
13:23:23;2022-03-03T13:23:21.607Z;gyro_bench_legs;0.03;0.01;1.0;;;;;
13:23:23;2022-03-03T13:23:21.816Z;gyro_bench_legs;0.02;0.01;1.0;;;;;
13:23:23;2022-03-03T13:23:22.024Z;gyro_bench_legs;0.03;0.01;1.0;;;;;
13:23:23;2022-03-03T13:23:22.232Z;gyro_bench_legs;0.03;0.01;1.0;;;;;
13:23:23;2022-03-03T13:23:22.440Z;gyro_bench_legs;0.03;0.01;0.99;;;;;
13:23:23;2022-03-03T13:23:22.649Z;gyro_bench_legs;0.03;0.01;1.0;;;;;
13:23:23;2022-03-03T13:23:22.857Z;gyro_bench_legs;0.03;0.01;1.0;;;;;
13:23:23;2022-03-03T13:23:23.143Z;ultrasonic_cable_right;481.0;;;;;;;
13:23:23;2022-03-03T13:23:23.154Z;ultrasonic_top;159.0;;;;;;;
13:23:23;2022-03-03T13:23:23.167Z;ultrasonic_cable_left;179.0;;;;;;;
13:23:23;2022-03-03T13:23:23.200Z;gyro_cable_left;-0.01;-0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:23.201Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:23.180Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:23;2022-03-03T13:23:23.265Z;gyro_bar;0.0;0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:23.290Z;gyro_bench_top;1.01;33.78;102.56;;;;;
13:23:23;2022-03-03T13:23:23.207Z;ultrasonic_foot_1-2;52.0;;;;;;;
13:23:23;2022-03-03T13:23:23.270Z;ultrasonic_foot_5-6;275.0;;;;;;;
13:23:23;2022-03-03T13:23:23.343Z;gyro_bench_legs;0.02;0.01;1.0;;;;;
13:23:23;2022-03-03T13:23:23.384Z;ultrasonic_cable_right;297.0;;;;;;;
13:23:23;2022-03-03T13:23:23.409Z;gyro_cable_left;0.02;0.0;0.99;;;;;
13:23:23;2022-03-03T13:23:23.410Z;gyro_cable_right;-0.0;0.01;1.0;;;;;
13:23:23;2022-03-03T13:23:23.385Z;ultrasonic_top;122.0;;;;;;;
13:23:23;2022-03-03T13:23:23.402Z;ultrasonic_cable_left;207.0;;;;;;;
13:23:23;2022-03-03T13:23:23.474Z;gyro_bar;0.01;0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:23.410Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:23;2022-03-03T13:23:23.499Z;gyro_bench_top;1.01;33.84;102.63;;;;;
13:23:23;2022-03-03T13:23:23.434Z;ultrasonic_foot_1-2;60.0;;;;;;;
13:23:23;2022-03-03T13:23:23.552Z;gyro_bench_legs;0.02;0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:23.509Z;ultrasonic_foot_5-6;274.0;;;;;;;
13:23:23;2022-03-03T13:23:23.617Z;ultrasonic_top;159.0;;;;;;;
13:23:23;2022-03-03T13:23:23.618Z;gyro_cable_left;0.0;0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:23.619Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:23.683Z;gyro_bar;0.0;0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:23.666Z;ultrasonic_cable_right;1007.0;;;;;;;
13:23:23;2022-03-03T13:23:23.637Z;ultrasonic_cable_left;198.0;;;;;;;
13:23:23;2022-03-03T13:23:23.639Z;ultrasonic_foot_3-4;109.0;;;;;;;
13:23:23;2022-03-03T13:23:23.660Z;ultrasonic_foot_1-2;52.0;;;;;;;
13:23:23;2022-03-03T13:23:23.708Z;gyro_bench_top;0.99;33.86;102.57;;;;;
13:23:23;2022-03-03T13:23:23.761Z;gyro_bench_legs;0.02;0.01;1.01;;;;;
13:23:23;2022-03-03T13:23:23.739Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:23;2022-03-03T13:23:23.827Z;gyro_cable_left;-0.01;0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:23.828Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:23.850Z;ultrasonic_top;159.0;;;;;;;
13:23:23;2022-03-03T13:23:23.892Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:23:23;2022-03-03T13:23:23.902Z;ultrasonic_cable_right;202.0;;;;;;;
13:23:23;2022-03-03T13:23:23.870Z;ultrasonic_cable_left;172.0;;;;;;;
13:23:23;2022-03-03T13:23:23.867Z;ultrasonic_foot_3-4;81.0;;;;;;;
13:23:23;2022-03-03T13:23:23.917Z;gyro_bench_top;0.94;33.77;102.56;;;;;
13:23:23;2022-03-03T13:23:23.886Z;ultrasonic_foot_1-2;52.0;;;;;;;
13:23:23;2022-03-03T13:23:23.970Z;gyro_bench_legs;0.03;0.0;1.01;;;;;
13:23:24;2022-03-03T13:23:23.969Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:24;2022-03-03T13:23:24.036Z;gyro_cable_left;0.01;0.01;1.0;;;;;
13:23:24;2022-03-03T13:23:24.037Z;gyro_cable_right;0.0;-0.01;1.0;;;;;
13:23:24;2022-03-03T13:23:24.101Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:23:24;2022-03-03T13:23:24.083Z;ultrasonic_top;158.0;;;;;;;
13:23:24;2022-03-03T13:23:24.126Z;gyro_bench_top;0.88;33.9;102.66;;;;;
13:23:24;2022-03-03T13:23:24.113Z;ultrasonic_foot_1-2;52.0;;;;;;;
13:23:24;2022-03-03T13:23:24.102Z;ultrasonic_cable_left;152.0;;;;;;;
13:23:24;2022-03-03T13:23:24.097Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:24;2022-03-03T13:23:24.155Z;ultrasonic_cable_right;500.0;;;;;;;
13:23:24;2022-03-03T13:23:24.179Z;gyro_bench_legs;0.02;0.0;1.0;;;;;
13:23:24;2022-03-03T13:23:24.199Z;ultrasonic_foot_5-6;111.0;;;;;;;
13:23:24;2022-03-03T13:23:24.245Z;gyro_cable_left;0.03;0.01;1.0;;;;;
13:23:24;2022-03-03T13:23:24.246Z;gyro_cable_right;0.01;0.0;1.0;;;;;
13:23:24;2022-03-03T13:23:24.310Z;gyro_bar;0.01;-0.0;1.01;;;;;
13:23:24;2022-03-03T13:23:24.335Z;gyro_bench_top;0.8;33.88;102.68;;;;;
13:23:24;2022-03-03T13:23:24.316Z;ultrasonic_top;158.0;;;;;;;
13:23:24;2022-03-03T13:23:24.387Z;ultrasonic_cable_right;146.0;;;;;;;
13:23:24;2022-03-03T13:23:24.336Z;ultrasonic_cable_left;188.0;;;;;;;
13:23:24;2022-03-03T13:23:24.327Z;ultrasonic_foot_3-4;109.0;;;;;;;
13:23:24;2022-03-03T13:23:24.338Z;ultrasonic_foot_1-2;52.0;;;;;;;
13:23:24;2022-03-03T13:23:24.388Z;gyro_bench_legs;0.03;0.0;1.0;;;;;
13:23:24;2022-03-03T13:23:24.454Z;gyro_cable_left;-0.01;-0.01;1.0;;;;;
13:23:24;2022-03-03T13:23:24.455Z;gyro_cable_right;0.0;-0.0;1.01;;;;;
13:23:24;2022-03-03T13:23:24.429Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:24;2022-03-03T13:23:24.519Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:23:24;2022-03-03T13:23:24.544Z;gyro_bench_top;0.76;33.87;102.73;;;;;
13:23:24;2022-03-03T13:23:24.550Z;ultrasonic_top;158.0;;;;;;;
13:23:24;2022-03-03T13:23:24.597Z;gyro_bench_legs;0.02;0.0;1.01;;;;;
13:23:24;2022-03-03T13:23:24.557Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:24;2022-03-03T13:23:24.568Z;ultrasonic_cable_left;152.0;;;;;;;
13:23:24;2022-03-03T13:23:24.622Z;ultrasonic_cable_right;201.0;;;;;;;
13:23:24;2022-03-03T13:23:24.565Z;ultrasonic_foot_1-2;54.0;;;;;;;
13:23:24;2022-03-03T13:23:24.663Z;gyro_cable_left;-0.02;-0.0;1.0;;;;;
13:23:24;2022-03-03T13:23:24.664Z;gyro_cable_right;0.0;0.0;1.01;;;;;
13:23:24;2022-03-03T13:23:24.728Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:23:24;2022-03-03T13:23:24.668Z;ultrasonic_foot_5-6;273.0;;;;;;;
13:23:24;2022-03-03T13:23:24.753Z;gyro_bench_top;0.73;33.99;102.72;;;;;
13:23:24;2022-03-03T13:23:24.782Z;ultrasonic_top;159.0;;;;;;;
13:23:24;2022-03-03T13:23:24.806Z;gyro_bench_legs;0.01;0.0;1.01;;;;;
13:23:24;2022-03-03T13:23:24.786Z;ultrasonic_foot_3-4;109.0;;;;;;;
13:23:24;2022-03-03T13:23:24.790Z;ultrasonic_foot_1-2;52.0;;;;;;;
13:23:24;2022-03-03T13:23:24.803Z;ultrasonic_cable_left;201.0;;;;;;;
13:23:24;2022-03-03T13:23:24.873Z;ultrasonic_cable_right;477.0;;;;;;;
13:23:24;2022-03-03T13:23:24.872Z;gyro_cable_left;-0.01;0.01;1.0;;;;;
13:23:24;2022-03-03T13:23:24.873Z;gyro_cable_right;0.0;0.0;0.99;;;;;
13:23:24;2022-03-03T13:23:24.937Z;gyro_bar;-0.0;-0.0;0.99;;;;;
13:23:24;2022-03-03T13:23:24.898Z;ultrasonic_foot_5-6;111.0;;;;;;;
13:23:24;2022-03-03T13:23:24.962Z;gyro_bench_top;0.69;34.09;102.67;;;;;
13:23:25;2022-03-03T13:23:25.015Z;gyro_bench_legs;0.03;0.01;1.01;;;;;
13:23:25;2022-03-03T13:23:25.016Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:25;2022-03-03T13:23:25.016Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:25;2022-03-03T13:23:25.038Z;ultrasonic_cable_left;199.0;;;;;;;
13:23:25;2022-03-03T13:23:25.081Z;gyro_cable_left;0.02;0.0;1.0;;;;;
13:23:25;2022-03-03T13:23:25.015Z;ultrasonic_top;158.0;;;;;;;
13:23:25;2022-03-03T13:23:25.082Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:23:25;2022-03-03T13:23:25.146Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:23:25;2022-03-03T13:23:25.155Z;ultrasonic_cable_right;1007.0;;;;;;;
13:23:25;2022-03-03T13:23:25.171Z;gyro_bench_top;0.66;34.08;102.68;;;;;
13:23:25;2022-03-03T13:23:25.128Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:25;2022-03-03T13:23:25.224Z;gyro_bench_legs;0.03;0.01;1.01;;;;;
13:23:25;2022-03-03T13:23:25.242Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:25;2022-03-03T13:23:25.248Z;ultrasonic_top;158.0;;;;;;;
13:23:25;2022-03-03T13:23:25.246Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:25;2022-03-03T13:23:25.290Z;gyro_cable_left;-0.0;0.0;1.0;;;;;
13:23:25;2022-03-03T13:23:25.291Z;gyro_cable_right;-0.0;0.01;1.0;;;;;
13:23:25;2022-03-03T13:23:25.273Z;ultrasonic_cable_left;198.0;;;;;;;
13:23:25;2022-03-03T13:23:25.355Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:23:25;2022-03-03T13:23:25.380Z;gyro_bench_top;0.68;34.16;102.67;;;;;
13:23:25;2022-03-03T13:23:25.358Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:25;2022-03-03T13:23:25.433Z;gyro_bench_legs;0.02;0.01;1.0;;;;;
13:23:25;2022-03-03T13:23:25.438Z;ultrasonic_cable_right;1007.0;;;;;;;
13:23:25;2022-03-03T13:23:25.481Z;ultrasonic_top;159.0;;;;;;;
13:23:25;2022-03-03T13:23:25.499Z;gyro_cable_left;-0.02;0.0;1.01;;;;;
13:23:25;2022-03-03T13:23:25.500Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:23:25;2022-03-03T13:23:25.468Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:25;2022-03-03T13:23:25.475Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:25;2022-03-03T13:23:25.564Z;gyro_bar;-0.0;0.01;1.0;;;;;
13:23:25;2022-03-03T13:23:25.508Z;ultrasonic_cable_left;199.0;;;;;;;
13:23:25;2022-03-03T13:23:25.589Z;gyro_bench_top;0.72;34.15;102.65;;;;;
13:23:25;2022-03-03T13:23:25.642Z;gyro_bench_legs;0.02;0.01;1.0;;;;;
13:23:25;2022-03-03T13:23:25.588Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:25;2022-03-03T13:23:25.721Z;ultrasonic_cable_right;1007.0;;;;;;;
13:23:25;2022-03-03T13:23:25.708Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:23:25;2022-03-03T13:23:25.704Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:25;2022-03-03T13:23:25.714Z;ultrasonic_top;159.0;;;;;;;
13:23:25;2022-03-03T13:23:25.709Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:23:25;2022-03-03T13:23:25.695Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:25;2022-03-03T13:23:25.773Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:23:25;2022-03-03T13:23:25.744Z;ultrasonic_cable_left;206.0;;;;;;;
13:23:25;2022-03-03T13:23:25.798Z;gyro_bench_top;0.71;34.23;102.7;;;;;
13:23:25;2022-03-03T13:23:25.851Z;gyro_bench_legs;0.02;0.01;1.0;;;;;
13:23:25;2022-03-03T13:23:25.818Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:25;2022-03-03T13:23:25.917Z;gyro_cable_left;0.03;0.01;1.0;;;;;
13:23:25;2022-03-03T13:23:25.918Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:23:25;2022-03-03T13:23:25.920Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:25;2022-03-03T13:23:25.982Z;gyro_bar;-0.0;-0.01;0.99;;;;;
13:23:25;2022-03-03T13:23:25.947Z;ultrasonic_top;159.0;;;;;;;
13:23:26;2022-03-03T13:23:25.934Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:26;2022-03-03T13:23:26.004Z;ultrasonic_cable_right;1007.0;;;;;;;
13:23:26;2022-03-03T13:23:26.007Z;gyro_bench_top;0.78;34.16;102.65;;;;;
13:23:26;2022-03-03T13:23:25.979Z;ultrasonic_cable_left;198.0;;;;;;;
13:23:26;2022-03-03T13:23:26.060Z;gyro_bench_legs;0.02;0.0;1.01;;;;;
13:23:26;2022-03-03T13:23:26.048Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:26;2022-03-03T13:23:26.126Z;gyro_cable_left;0.01;0.0;1.0;;;;;
13:23:26;2022-03-03T13:23:26.127Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:23:26;2022-03-03T13:23:26.191Z;gyro_bar;0.0;0.0;1.0;;;;;
13:23:26;2022-03-03T13:23:26.147Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:26;2022-03-03T13:23:26.180Z;ultrasonic_top;159.0;;;;;;;
13:23:26;2022-03-03T13:23:26.216Z;gyro_bench_top;0.83;34.17;102.59;;;;;
13:23:26;2022-03-03T13:23:26.164Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:26;2022-03-03T13:23:26.214Z;ultrasonic_cable_left;199.0;;;;;;;
13:23:26;2022-03-03T13:23:26.269Z;gyro_bench_legs;0.03;0.01;1.0;;;;;
13:23:26;2022-03-03T13:23:26.288Z;ultrasonic_cable_right;1007.0;;;;;;;
13:23:26;2022-03-03T13:23:26.278Z;ultrasonic_foot_5-6;111.0;;;;;;;
13:23:26;2022-03-03T13:23:26.335Z;gyro_cable_left;-0.01;-0.0;1.0;;;;;
13:23:26;2022-03-03T13:23:26.336Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:23:26;2022-03-03T13:23:26.400Z;gyro_bar;0.01;-0.01;0.99;;;;;
13:23:26;2022-03-03T13:23:26.372Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:26;2022-03-03T13:23:26.413Z;ultrasonic_top;158.0;;;;;;;
13:23:26;2022-03-03T13:23:26.425Z;gyro_bench_top;0.81;34.24;102.59;;;;;
13:23:26;2022-03-03T13:23:26.393Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:26;2022-03-03T13:23:26.479Z;gyro_bench_legs;0.03;0.01;1.0;;;;;
13:23:26;2022-03-03T13:23:26.449Z;ultrasonic_cable_left;199.0;;;;;;;
13:23:26;2022-03-03T13:23:26.544Z;gyro_cable_left;0.01;0.01;1.0;;;;;
13:23:26;2022-03-03T13:23:26.508Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:26;2022-03-03T13:23:26.570Z;ultrasonic_cable_right;1007.0;;;;;;;
13:23:26;2022-03-03T13:23:26.545Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
13:23:26;2022-03-03T13:23:26.609Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:23:26;2022-03-03T13:23:26.634Z;gyro_bench_top;0.86;34.31;102.59;;;;;
13:23:26;2022-03-03T13:23:26.644Z;ultrasonic_top;132.0;;;;;;;
13:23:26;2022-03-03T13:23:26.598Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:26;2022-03-03T13:23:26.623Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:26;2022-03-03T13:23:26.689Z;gyro_bench_legs;0.02;0.01;1.0;;;;;
13:23:26;2022-03-03T13:23:26.684Z;ultrasonic_cable_left;199.0;;;;;;;
13:23:26;2022-03-03T13:23:26.753Z;gyro_cable_left;0.0;0.0;1.0;;;;;
13:23:26;2022-03-03T13:23:26.754Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:23:26;2022-03-03T13:23:26.738Z;ultrasonic_foot_5-6;111.0;;;;;;;
13:23:26;2022-03-03T13:23:26.818Z;gyro_bar;0.0;0.0;1.0;;;;;
13:23:26;2022-03-03T13:23:26.843Z;gyro_bench_top;0.83;34.31;102.59;;;;;
13:23:26;2022-03-03T13:23:26.853Z;ultrasonic_cable_right;1007.0;;;;;;;
13:23:26;2022-03-03T13:23:26.824Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:26;2022-03-03T13:23:26.898Z;gyro_bench_legs;0.03;0.0;1.0;;;;;
13:23:26;2022-03-03T13:23:26.877Z;ultrasonic_top;159.0;;;;;;;
13:23:26;2022-03-03T13:23:26.852Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:26;2022-03-03T13:23:26.917Z;ultrasonic_cable_left;160.0;;;;;;;
13:23:27;2022-03-03T13:23:26.962Z;gyro_cable_left;-0.01;-0.01;1.0;;;;;
13:23:27;2022-03-03T13:23:26.963Z;gyro_cable_right;0.0;0.0;1.01;;;;;
13:23:27;2022-03-03T13:23:27.027Z;gyro_bar;-0.0;-0.0;0.99;;;;;
13:23:27;2022-03-03T13:23:26.968Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:27;2022-03-03T13:23:27.052Z;gyro_bench_top;0.85;34.37;102.58;;;;;
13:23:27;2022-03-03T13:23:27.089Z;ultrasonic_cable_right;203.0;;;;;;;
13:23:27;2022-03-03T13:23:27.107Z;gyro_bench_legs;0.03;0.01;1.0;;;;;
13:23:27;2022-03-03T13:23:27.110Z;ultrasonic_top;159.0;;;;;;;
13:23:27;2022-03-03T13:23:27.050Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:27;2022-03-03T13:23:27.082Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:27;2022-03-03T13:23:27.171Z;gyro_cable_left;-0.02;-0.0;0.99;;;;;
13:23:27;2022-03-03T13:23:27.172Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:23:27;2022-03-03T13:23:27.236Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:23:27;2022-03-03T13:23:27.199Z;ultrasonic_cable_left;1003.0;;;;;;;
13:23:27;2022-03-03T13:23:27.198Z;ultrasonic_foot_5-6;111.0;;;;;;;
13:23:27;2022-03-03T13:23:27.261Z;gyro_bench_top;0.87;34.37;102.63;;;;;
13:23:27;2022-03-03T13:23:27.316Z;gyro_bench_legs;0.01;0.01;1.01;;;;;
13:23:27;2022-03-03T13:23:27.277Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:27;2022-03-03T13:23:27.324Z;ultrasonic_cable_right;198.0;;;;;;;
13:23:27;2022-03-03T13:23:27.312Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:27;2022-03-03T13:23:27.380Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:23:27;2022-03-03T13:23:27.343Z;ultrasonic_top;159.0;;;;;;;
13:23:27;2022-03-03T13:23:27.381Z;gyro_cable_right;0.0;-0.0;1.01;;;;;
13:23:27;2022-03-03T13:23:27.445Z;gyro_bar;0.0;0.0;0.99;;;;;
13:23:27;2022-03-03T13:23:27.470Z;gyro_bench_top;0.89;34.41;102.66;;;;;
13:23:27;2022-03-03T13:23:27.435Z;ultrasonic_cable_left;198.0;;;;;;;
13:23:27;2022-03-03T13:23:27.428Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:27;2022-03-03T13:23:27.525Z;gyro_bench_legs;0.03;0.0;1.0;;;;;
13:23:27;2022-03-03T13:23:27.559Z;ultrasonic_cable_right;200.0;;;;;;;
13:23:27;2022-03-03T13:23:27.576Z;ultrasonic_top;159.0;;;;;;;
13:23:27;2022-03-03T13:23:27.542Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:27;2022-03-03T13:23:27.503Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:27;2022-03-03T13:23:27.589Z;gyro_cable_left;0.01;0.01;1.0;;;;;
13:23:27;2022-03-03T13:23:27.590Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
13:23:27;2022-03-03T13:23:27.654Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:23:27;2022-03-03T13:23:27.679Z;gyro_bench_top;0.89;34.38;102.7;;;;;
13:23:27;2022-03-03T13:23:27.658Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:27;2022-03-03T13:23:27.668Z;ultrasonic_cable_left;168.0;;;;;;;
13:23:27;2022-03-03T13:23:27.734Z;gyro_bench_legs;0.02;0.0;1.0;;;;;
13:23:27;2022-03-03T13:23:27.794Z;ultrasonic_cable_right;201.0;;;;;;;
13:23:27;2022-03-03T13:23:27.728Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:27;2022-03-03T13:23:27.798Z;gyro_cable_left;-0.0;0.01;1.01;;;;;
13:23:27;2022-03-03T13:23:27.771Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:27;2022-03-03T13:23:27.799Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:23:27;2022-03-03T13:23:27.863Z;gyro_bar;0.01;-0.0;1.01;;;;;
13:23:27;2022-03-03T13:23:27.888Z;gyro_bench_top;0.86;34.44;102.67;;;;;
13:23:27;2022-03-03T13:23:27.809Z;ultrasonic_top;158.0;;;;;;;
13:23:27;2022-03-03T13:23:27.888Z;ultrasonic_foot_5-6;109.0;;;;;;;
13:23:27;2022-03-03T13:23:27.943Z;gyro_bench_legs;0.02;0.01;1.0;;;;;
13:23:27;2022-03-03T13:23:27.901Z;ultrasonic_cable_left;171.0;;;;;;;
13:23:28;2022-03-03T13:23:27.955Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:28;2022-03-03T13:23:28.007Z;gyro_cable_left;-0.01;0.0;1.0;;;;;
13:23:28;2022-03-03T13:23:28.041Z;ultrasonic_top;159.0;;;;;;;
13:23:28;2022-03-03T13:23:28.029Z;ultrasonic_cable_right;200.0;;;;;;;
13:23:28;2022-03-03T13:23:28.008Z;gyro_cable_right;0.0;0.0;1.01;;;;;
13:23:28;2022-03-03T13:23:28.001Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:28;2022-03-03T13:23:28.072Z;gyro_bar;-0.0;0.01;1.0;;;;;
13:23:28;2022-03-03T13:23:28.097Z;gyro_bench_top;0.84;34.45;102.59;;;;;
13:23:28;2022-03-03T13:23:28.152Z;gyro_bench_legs;0.02;0.0;1.0;;;;;
13:23:28;2022-03-03T13:23:28.118Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:28;2022-03-03T13:23:28.136Z;ultrasonic_cable_left;198.0;;;;;;;
13:23:28;2022-03-03T13:23:28.180Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:23:28;2022-03-03T13:23:28.216Z;gyro_cable_left;0.01;0.01;0.99;;;;;
13:23:28;2022-03-03T13:23:28.217Z;gyro_cable_right;-0.0;-0.0;1.01;;;;;
13:23:28;2022-03-03T13:23:28.281Z;gyro_bar;-0.0;0.0;0.99;;;;;
13:23:28;2022-03-03T13:23:28.271Z;ultrasonic_cable_right;313.0;;;;;;;
13:23:28;2022-03-03T13:23:28.230Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:23:28;2022-03-03T13:23:28.272Z;ultrasonic_top;132.0;;;;;;;
13:23:28;2022-03-03T13:23:28.306Z;gyro_bench_top;0.93;34.51;102.61;;;;;
13:23:28;2022-03-03T13:23:28.361Z;gyro_bench_legs;0.02;0.01;1.0;;;;;
13:23:28;2022-03-03T13:23:28.348Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:23:28;2022-03-03T13:23:28.371Z;ultrasonic_cable_left;207.0;;;;;;;
